time,FPS / Frame,Time: Chassis,Time: RobotPos,Time: Sweeper,Time: Telemetry,Time: Turret,X,Y,Yaw,setPower: Chassis,setPower: Shooter,setPower: Sweeper,setPower: Turret,useNoHeadMode,logs
22:31.2,22.2 / 45.1 ms,60 us,19852 us,3 us,43 us,10332 us,0.001702497,-0.001322116,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.2,26.6 / 37.5 ms,57 us,21290 us,3 us,44 us,10112 us,0.001702497,-0.001322116,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.3,19.9 / 50.3 ms,55 us,20202 us,3 us,10107 us,10624 us,0.00170279,-0.001322343,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.3,26.4 / 37.9 ms,57 us,18439 us,4 us,43 us,10337 us,0.00170279,-0.001322343,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.3,26.5 / 37.8 ms,79 us,16664 us,4 us,52 us,11049 us,0.001703377,-0.001322797,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.4,27.8 / 35.9 ms,148 us,21369 us,4 us,51 us,12905 us,0.00170367,-0.001323024,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.4,22.5 / 44.5 ms,69 us,18188 us,4 us,57 us,10529 us,0.001703083,-0.00132257,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.5,26.8 / 37.3 ms,65 us,17386 us,4 us,49 us,10230 us,0.001703083,-0.00132257,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.5,23.3 / 43.0 ms,80 us,20055 us,4 us,55 us,10168 us,0.00170367,-0.001323025,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.6,17.6 / 56.8 ms,68 us,16893 us,4 us,15992 us,12968 us,0.00170367,-0.001323025,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.6,23.4 / 42.7 ms,102 us,17740 us,6 us,59 us,11616 us,0.001703963,-0.001323252,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.7,23.9 / 41.9 ms,86 us,20554 us,5 us,75 us,17120 us,0.001704843,-0.001323933,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.7,19.0 / 52.7 ms,636 us,22257 us,6 us,182 us,11311 us,0.00170543,-0.001324387,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.7,21.1 / 47.3 ms,121 us,20756 us,5 us,68 us,11955 us,0.001706603,-0.001325296,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.8,21.9 / 45.6 ms,101 us,20782 us,5 us,70 us,11592 us,0.00170631,-0.001325069,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.8,16.3 / 61.5 ms,71 us,17475 us,4 us,18220 us,10737 us,0.001706603,-0.001325296,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.9,27.2 / 36.8 ms,71 us,18078 us,4 us,52 us,11831 us,0.00170719,-0.00132575,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:31.9,23.5 / 42.6 ms,75 us,20153 us,5 us,51 us,11823 us,0.001708657,-0.001326885,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.0,24.2 / 41.3 ms,69 us,18152 us,3 us,50 us,10192 us,0.001708657,-0.001326885,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.1,23.5 / 42.6 ms,72 us,23262 us,3 us,52 us,9792 us,0.001708657,-0.001326885,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.5,24.0 / 41.6 ms,65 us,21361 us,3 us,46 us,12463 us,0.00170895,-0.001327113,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.1,24.3 / 41.2 ms,58 us,20021 us,3 us,41 us,9980 us,0.001709243,-0.00132734,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.2,19.3 / 51.7 ms,56 us,21870 us,3 us,9757 us,14985 us,0.00171071,-0.001328475,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.2,21.1 / 47.3 ms,57 us,21174 us,3 us,38 us,9998 us,0.001711003,-0.001328703,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.2,25.8 / 38.8 ms,56 us,17467 us,4 us,133 us,10034 us,0.001711003,-0.001328703,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.3,28.7 / 34.9 ms,67 us,18871 us,3 us,41 us,9957 us,0.001711296,-0.00132893,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.3,26.8 / 37.4 ms,57 us,20994 us,3 us,36 us,10414 us,0.001711296,-0.00132893,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.3,25.5 / 39.2 ms,67 us,18870 us,4 us,43 us,10748 us,0.00171071,-0.001328476,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.4,26.5 / 37.8 ms,71 us,17696 us,4 us,52 us,11421 us,0.001711296,-0.00132893,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.4,19.3 / 51.9 ms,80 us,20979 us,4 us,13621 us,10679 us,0.001711589,-0.001329157,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.5,24.9 / 40.2 ms,85 us,20644 us,5 us,50 us,12149 us,0.001711589,-0.001329157,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.5,16.3 / 61.2 ms,250 us,21643 us,5 us,52 us,11231 us,0.001711296,-0.00132893,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.6,23.4 / 42.8 ms,71 us,18139 us,4 us,52 us,15920 us,0.001712176,-0.001329611,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.6,23.4 / 42.8 ms,71 us,18085 us,3 us,51 us,10987 us,0.001711296,-0.00132893,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.7,23.0 / 43.4 ms,58 us,19840 us,3 us,45 us,14449 us,0.001711296,-0.00132893,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.7,17.0 / 58.7 ms,59 us,24127 us,3 us,14239 us,10005 us,0.001712176,-0.001329611,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.8,22.8 / 43.8 ms,58 us,21789 us,3 us,47 us,9825 us,0.001711883,-0.001329384,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
22:32.8,22.2 / 45.0 ms,70 us,14589 us,3 us,43 us,2599 us,0.001713056,-0.001330293,50.00 deg,0.0 us,0.0 us,0.0 us,0.0 us,FALSE,
